class,correct/incorrect,name
""
runway
runway,incorrect
runway,incorrect,stop_sign-runway-0959
runway,incorrect,backpack-runway-0991
runway,incorrect,kite-runway-0991
runway,incorrect,kite-runway-0908
runway,incorrect,stop_sign-runway-0965
runway,incorrect,kite-runway-0915
runway,incorrect,dog-runway-0939
runway,incorrect,dog-runway-0981
runway,correct
runway,correct,pizza-runway-0951
runway,correct,bird-runway-0923
runway,correct,kite-runway-0969
runway,correct,elephant-runway-0904
runway,correct,zebra-runway-0936
runway,correct,stop_sign-runway-0937
runway,correct,dog-runway-0990
runway,correct,pizza-runway-0999
runway,correct,backpack-runway-0998
runway,correct,kite-runway-0956
runway,correct,dog-runway-0907
runway,correct,dog-runway-0970
runway,correct,backpack-runway-0923
runway,correct,elephant-runway-0938
runway,correct,bird-runway-0927
runway,correct,truck-runway-0910
runway,correct,kite-runway-0920
runway,correct,stop_sign-runway-0974
runway,correct,dog-runway-0905
runway,correct,backpack-runway-0913
runway,correct,pizza-runway-0995
runway,correct,truck-runway-0997
runway,correct,truck-runway-0979
runway,correct,pizza-runway-0950
runway,correct,toilet-runway-0919
runway,correct,stop_sign-runway-0958
runway,correct,zebra-runway-0978
runway,correct,dog-runway-0966
runway,correct,stop_sign-runway-0984
runway,correct,elephant-runway-0998
runway,correct,bird-runway-0942
corn_field
corn_field,incorrect
corn_field,incorrect,stop_sign-corn_field-0958
corn_field,incorrect,zebra-corn_field-0938
corn_field,incorrect,backpack-corn_field-0957
corn_field,incorrect,pizza-corn_field-0942
corn_field,incorrect,zebra-corn_field-0946
corn_field,incorrect,kite-corn_field-0949
corn_field,incorrect,toilet-corn_field-0938
corn_field,incorrect,toilet-corn_field-0900
corn_field,incorrect,bird-corn_field-0968
corn_field,incorrect,elephant-corn_field-0973
corn_field,incorrect,backpack-corn_field-0946
corn_field,correct
corn_field,correct,zebra-corn_field-0935
corn_field,correct,dog-corn_field-0976
corn_field,correct,elephant-corn_field-0936
corn_field,correct,pizza-corn_field-0948
corn_field,correct,toilet-corn_field-0914
corn_field,correct,toilet-corn_field-0969
corn_field,correct,stop_sign-corn_field-0919
corn_field,correct,elephant-corn_field-0990
corn_field,correct,backpack-corn_field-0987
corn_field,correct,truck-corn_field-0972
corn_field,correct,pizza-corn_field-0917
corn_field,correct,truck-corn_field-0961
corn_field,correct,dog-corn_field-0953
corn_field,correct,bird-corn_field-0928
corn_field,correct,bird-corn_field-0922
corn_field,correct,toilet-corn_field-0931
corn_field,correct,toilet-corn_field-0976
corn_field,correct,truck-corn_field-0999
corn_field,correct,toilet-corn_field-0933
corn_field,correct,kite-corn_field-0950
corn_field,correct,truck-corn_field-0926
corn_field,correct,stop_sign-corn_field-0986
corn_field,correct,truck-corn_field-0914
corn_field,correct,kite-corn_field-0965
corn_field,correct,elephant-corn_field-0940
corn_field,correct,truck-corn_field-0970
corn_field,correct,truck-corn_field-0974
corn_field,correct,kite-corn_field-0985
corn_field,correct,truck-corn_field-0922
corn_field,correct,kite-corn_field-0954
corn_field,correct,pizza-corn_field-0953
corn_field,correct,kite-corn_field-0911
corn_field,correct,elephant-corn_field-0943
ski_slope
ski_slope,correct
ski_slope,correct,zebra-ski_slope-0995
ski_slope,correct,kite-ski_slope-0929
ski_slope,correct,truck-ski_slope-0954
ski_slope,correct,backpack-ski_slope-0941
ski_slope,correct,bird-ski_slope-0928
ski_slope,correct,kite-ski_slope-0924
ski_slope,correct,stop_sign-ski_slope-0908
ski_slope,correct,zebra-ski_slope-0998
ski_slope,correct,elephant-ski_slope-0938
ski_slope,correct,pizza-ski_slope-0908
ski_slope,correct,backpack-ski_slope-0914
ski_slope,correct,zebra-ski_slope-0916
ski_slope,correct,elephant-ski_slope-0919
ski_slope,correct,backpack-ski_slope-0900
ski_slope,correct,elephant-ski_slope-0914
ski_slope,correct,dog-ski_slope-0982
ski_slope,correct,pizza-ski_slope-0916
ski_slope,correct,backpack-ski_slope-0932
ski_slope,correct,elephant-ski_slope-0972
ski_slope,correct,kite-ski_slope-0917
ski_slope,correct,dog-ski_slope-0932
ski_slope,correct,kite-ski_slope-0936
ski_slope,correct,toilet-ski_slope-0933
ski_slope,correct,pizza-ski_slope-0987
ski_slope,correct,kite-ski_slope-0909
ski_slope,correct,backpack-ski_slope-0972
ski_slope,correct,pizza-ski_slope-0900
ski_slope,correct,kite-ski_slope-0910
ski_slope,correct,pizza-ski_slope-0938
ski_slope,correct,zebra-ski_slope-0955
ski_slope,correct,toilet-ski_slope-0991
ski_slope,correct,pizza-ski_slope-0984
ski_slope,correct,elephant-ski_slope-0981
ski_slope,correct,elephant-ski_slope-0944
ski_slope,correct,bird-ski_slope-0971
ski_slope,correct,kite-ski_slope-0921
ski_slope,correct,toilet-ski_slope-0953
ski_slope,incorrect
ski_slope,incorrect,stop_sign-ski_slope-0942
ski_slope,incorrect,zebra-ski_slope-0962
ski_slope,incorrect,bird-ski_slope-0905
ski_slope,incorrect,dog-ski_slope-0928
ski_slope,incorrect,kite-ski_slope-0973
ski_slope,incorrect,backpack-ski_slope-0950
bedroom
bedroom,incorrect
bedroom,incorrect,bird-bedroom-0930
bedroom,incorrect,bird-bedroom-0946
bedroom,incorrect,elephant-bedroom-0906
bedroom,incorrect,truck-bedroom-0919
bedroom,incorrect,toilet-bedroom-0969
bedroom,incorrect,truck-bedroom-0987
bedroom,incorrect,elephant-bedroom-0940
bedroom,incorrect,bird-bedroom-0956
bedroom,incorrect,truck-bedroom-0955
bedroom,incorrect,pizza-bedroom-0946
bedroom,incorrect,zebra-bedroom-0951
bedroom,incorrect,stop_sign-bedroom-0908
bedroom,incorrect,bird-bedroom-0914
bedroom,correct
bedroom,correct,elephant-bedroom-0934
bedroom,correct,backpack-bedroom-0989
bedroom,correct,stop_sign-bedroom-0986
bedroom,correct,dog-bedroom-0918
bedroom,correct,toilet-bedroom-0931
bedroom,correct,pizza-bedroom-0974
bedroom,correct,backpack-bedroom-0974
bedroom,correct,elephant-bedroom-0920
bedroom,correct,kite-bedroom-0973
bedroom,correct,truck-bedroom-0973
bedroom,correct,pizza-bedroom-0958
bedroom,correct,zebra-bedroom-0932
bedroom,correct,dog-bedroom-0943
bedroom,correct,backpack-bedroom-0913
bedroom,correct,kite-bedroom-0932
bedroom,correct,bird-bedroom-0990
bedroom,correct,dog-bedroom-0966
bedroom,correct,pizza-bedroom-0970
bedroom,correct,toilet-bedroom-0907
bedroom,correct,backpack-bedroom-0963
bedroom,correct,zebra-bedroom-0901
bedroom,correct,stop_sign-bedroom-0913
bedroom,correct,stop_sign-bedroom-0964
bedroom,correct,truck-bedroom-0959
bedroom,correct,elephant-bedroom-0913
bedroom,correct,toilet-bedroom-0902
bedroom,correct,pizza-bedroom-0929
bedroom,correct,bird-bedroom-0981
bedroom,correct,pizza-bedroom-0966
bedroom,correct,toilet-bedroom-0950
bedroom,correct,stop_sign-bedroom-0974
bedroom,correct,elephant-bedroom-0928
bedroom,correct,elephant-bedroom-0989
bedroom,correct,truck-bedroom-0901
bedroom,correct,kite-bedroom-0957
cockpit
cockpit,incorrect
cockpit,incorrect,elephant-cockpit-0901
cockpit,incorrect,dog-cockpit-0955
cockpit,incorrect,pizza-cockpit-0915
cockpit,incorrect,stop_sign-cockpit-0965
cockpit,correct
cockpit,correct,elephant-cockpit-0995
cockpit,correct,kite-cockpit-0958
cockpit,correct,dog-cockpit-0932
cockpit,correct,toilet-cockpit-0964
cockpit,correct,toilet-cockpit-0919
cockpit,correct,toilet-cockpit-0980
cockpit,correct,kite-cockpit-0990
cockpit,correct,elephant-cockpit-0939
cockpit,correct,dog-cockpit-0984
cockpit,correct,toilet-cockpit-0979
cockpit,correct,stop_sign-cockpit-0958
cockpit,correct,elephant-cockpit-0985
cockpit,correct,zebra-cockpit-0927
cockpit,correct,elephant-cockpit-0923
cockpit,correct,bird-cockpit-0903
cockpit,correct,kite-cockpit-0977
cockpit,correct,stop_sign-cockpit-0903
cockpit,correct,dog-cockpit-0974
cockpit,correct,backpack-cockpit-0935
cockpit,correct,backpack-cockpit-0951
cockpit,correct,pizza-cockpit-0999
cockpit,correct,elephant-cockpit-0907
cockpit,correct,backpack-cockpit-0954
cockpit,correct,kite-cockpit-0924
cockpit,correct,stop_sign-cockpit-0927
cockpit,correct,toilet-cockpit-0930
cockpit,correct,toilet-cockpit-0908
cockpit,correct,truck-cockpit-0910
cockpit,correct,dog-cockpit-0908
cockpit,correct,zebra-cockpit-0980
cockpit,correct,bird-cockpit-0959
cockpit,correct,truck-cockpit-0979
cockpit,correct,dog-cockpit-0959
laundromat
laundromat,correct
laundromat,correct,kite-laundromat-0901
laundromat,correct,kite-laundromat-0998
laundromat,correct,truck-laundromat-0946
laundromat,correct,pizza-laundromat-0966
laundromat,correct,pizza-laundromat-0954
laundromat,correct,bird-laundromat-0943
laundromat,correct,toilet-laundromat-0926
laundromat,correct,zebra-laundromat-0924
laundromat,correct,dog-laundromat-0927
laundromat,correct,kite-laundromat-0915
laundromat,correct,truck-laundromat-0917
laundromat,correct,zebra-laundromat-0996
laundromat,correct,backpack-laundromat-0976
laundromat,correct,toilet-laundromat-0960
laundromat,correct,bird-laundromat-0978
laundromat,correct,elephant-laundromat-0972
laundromat,correct,elephant-laundromat-0978
laundromat,correct,bird-laundromat-0923
laundromat,correct,elephant-laundromat-0966
laundromat,correct,pizza-laundromat-0995
laundromat,correct,kite-laundromat-0937
laundromat,correct,bird-laundromat-0921
laundromat,correct,kite-laundromat-0994
laundromat,correct,toilet-laundromat-0976
laundromat,correct,kite-laundromat-0935
laundromat,correct,dog-laundromat-0919
laundromat,correct,backpack-laundromat-0910
laundromat,correct,zebra-laundromat-0928
laundromat,correct,truck-laundromat-0929
laundromat,correct,truck-laundromat-0975
laundromat,correct,backpack-laundromat-0990
laundromat,correct,pizza-laundromat-0948
laundromat,correct,dog-laundromat-0941
laundromat,correct,toilet-laundromat-0930
laundromat,correct,truck-laundromat-0971
laundromat,correct,zebra-laundromat-0914
laundromat,correct,dog-laundromat-0989
laundromat,correct,elephant-laundromat-0973
laundromat,incorrect
laundromat,incorrect,dog-laundromat-0924
laundromat,incorrect,bird-laundromat-0938
laundromat,incorrect,elephant-laundromat-0983
laundromat,incorrect,backpack-laundromat-0987
laundromat,incorrect,pizza-laundromat-0932
laundromat,incorrect,pizza-laundromat-0980
laundromat,incorrect,dog-laundromat-0979
laundromat,incorrect,stop_sign-laundromat-0979
laundromat,incorrect,bird-laundromat-0968
laundromat,incorrect,backpack-laundromat-0947
laundromat,incorrect,kite-laundromat-0947
bamboo_forest
bamboo_forest,correct
bamboo_forest,correct,zebra-bamboo_forest-0911
bamboo_forest,correct,zebra-bamboo_forest-0988
bamboo_forest,correct,bird-bamboo_forest-0929
bamboo_forest,correct,stop_sign-bamboo_forest-0932
bamboo_forest,correct,kite-bamboo_forest-0973
bamboo_forest,correct,kite-bamboo_forest-0909
bamboo_forest,correct,pizza-bamboo_forest-0992
bamboo_forest,correct,pizza-bamboo_forest-0957
bamboo_forest,correct,zebra-bamboo_forest-0985
bamboo_forest,correct,backpack-bamboo_forest-0954
bamboo_forest,correct,backpack-bamboo_forest-0950
bamboo_forest,correct,elephant-bamboo_forest-0967
bamboo_forest,correct,elephant-bamboo_forest-0910
bamboo_forest,correct,backpack-bamboo_forest-0949
bamboo_forest,correct,bird-bamboo_forest-0943
bamboo_forest,correct,pizza-bamboo_forest-0930
bamboo_forest,correct,elephant-bamboo_forest-0960
bamboo_forest,correct,dog-bamboo_forest-0941
bamboo_forest,correct,stop_sign-bamboo_forest-0927
bamboo_forest,correct,stop_sign-bamboo_forest-0950
bamboo_forest,correct,toilet-bamboo_forest-0953
bamboo_forest,correct,kite-bamboo_forest-0902
bamboo_forest,correct,truck-bamboo_forest-0957
bamboo_forest,correct,zebra-bamboo_forest-0997
bamboo_forest,correct,kite-bamboo_forest-0996
bamboo_forest,correct,pizza-bamboo_forest-0914
bamboo_forest,correct,toilet-bamboo_forest-0929
bamboo_forest,correct,toilet-bamboo_forest-0911
bamboo_forest,correct,dog-bamboo_forest-0905
bamboo_forest,correct,kite-bamboo_forest-0976
bamboo_forest,correct,truck-bamboo_forest-0923
bamboo_forest,correct,pizza-bamboo_forest-0931
bamboo_forest,correct,pizza-bamboo_forest-0974
bamboo_forest,correct,dog-bamboo_forest-0985
bamboo_forest,correct,elephant-bamboo_forest-0982
bamboo_forest,correct,toilet-bamboo_forest-0944
bamboo_forest,correct,dog-bamboo_forest-0975
bamboo_forest,correct,backpack-bamboo_forest-0951
bamboo_forest,correct,kite-bamboo_forest-0968
bamboo_forest,correct,bird-bamboo_forest-0956
bamboo_forest,incorrect
bamboo_forest,incorrect,pizza-bamboo_forest-0943
bamboo_forest,incorrect,truck-bamboo_forest-0907
bamboo_forest,incorrect,zebra-bamboo_forest-0978
bamboo_forest,incorrect,backpack-bamboo_forest-0903
bamboo_forest,incorrect,backpack-bamboo_forest-0961
track_outdoor
track_outdoor,incorrect
track_outdoor,incorrect,elephant-track-0920
track_outdoor,incorrect,kite-track-0961
track_outdoor,incorrect,kite-track-0943
track_outdoor,incorrect,elephant-track-0936
track_outdoor,correct
track_outdoor,correct,zebra-track-0940
track_outdoor,correct,pizza-track-0982
track_outdoor,correct,truck-track-0945
track_outdoor,correct,stop_sign-track-0903
track_outdoor,correct,dog-track-0915
track_outdoor,correct,backpack-track-0968
track_outdoor,correct,toilet-track-0961
track_outdoor,correct,zebra-track-0949
track_outdoor,correct,zebra-track-0933
track_outdoor,correct,zebra-track-0939
track_outdoor,correct,kite-track-0906
track_outdoor,correct,pizza-track-0915
track_outdoor,correct,bird-track-0944
track_outdoor,correct,truck-track-0955
track_outdoor,correct,kite-track-0986
track_outdoor,correct,dog-track-0972
track_outdoor,correct,dog-track-0942
track_outdoor,correct,toilet-track-0919
track_outdoor,correct,kite-track-0925
track_outdoor,correct,bird-track-0909
track_outdoor,correct,truck-track-0944
track_outdoor,correct,pizza-track-0952
track_outdoor,correct,pizza-track-0958
track_outdoor,correct,backpack-track-0935
track_outdoor,correct,dog-track-0914
track_outdoor,correct,backpack-track-0948
track_outdoor,correct,truck-track-0971
track_outdoor,correct,bird-track-0984
track_outdoor,correct,bird-track-0964
track_outdoor,correct,dog-track-0997
track_outdoor,correct,pizza-track-0948
track_outdoor,correct,toilet-track-0983
track_outdoor,correct,dog-track-0984
track_outdoor,correct,zebra-track-0900
track_outdoor,correct,elephant-track-0982
track_outdoor,correct,toilet-track-0917
track_outdoor,correct,truck-track-0985
bowling_alley
bowling_alley,correct
bowling_alley,correct,dog-bowling_alley-0975
bowling_alley,correct,pizza-bowling_alley-0961
bowling_alley,correct,dog-bowling_alley-0988
bowling_alley,correct,backpack-bowling_alley-0963
bowling_alley,correct,truck-bowling_alley-0984
bowling_alley,correct,elephant-bowling_alley-0975
bowling_alley,correct,dog-bowling_alley-0924
bowling_alley,correct,stop_sign-bowling_alley-0975
bowling_alley,correct,toilet-bowling_alley-0977
bowling_alley,correct,kite-bowling_alley-0957
bowling_alley,correct,stop_sign-bowling_alley-0962
bowling_alley,correct,truck-bowling_alley-0907
bowling_alley,correct,backpack-bowling_alley-0984
bowling_alley,correct,bird-bowling_alley-0942
bowling_alley,correct,truck-bowling_alley-0914
bowling_alley,correct,elephant-bowling_alley-0971
bowling_alley,correct,backpack-bowling_alley-0955
bowling_alley,correct,kite-bowling_alley-0971
bowling_alley,correct,zebra-bowling_alley-0937
bowling_alley,correct,bird-bowling_alley-0988
bowling_alley,correct,bird-bowling_alley-0947
bowling_alley,correct,toilet-bowling_alley-0915
bowling_alley,correct,zebra-bowling_alley-0993
bowling_alley,correct,stop_sign-bowling_alley-0952
bowling_alley,correct,kite-bowling_alley-0983
bowling_alley,correct,toilet-bowling_alley-0934
bowling_alley,correct,elephant-bowling_alley-0926
bowling_alley,correct,bird-bowling_alley-0976
bowling_alley,correct,toilet-bowling_alley-0966
bowling_alley,correct,pizza-bowling_alley-0932
bowling_alley,correct,kite-bowling_alley-0932
bowling_alley,correct,truck-bowling_alley-0971
bowling_alley,incorrect
bowling_alley,incorrect,dog-bowling_alley-0906
bowling_alley,incorrect,pizza-bowling_alley-0972
bowling_alley,incorrect,elephant-bowling_alley-0981
bowling_alley,incorrect,truck-bowling_alley-0951
bowling_alley,incorrect,truck-bowling_alley-0905
bowling_alley,incorrect,elephant-bowling_alley-0903
bowling_alley,incorrect,dog-bowling_alley-0984
bowling_alley,incorrect,kite-bowling_alley-0981
bus_interior
bus_interior,correct
bus_interior,correct,pizza-bus_interior-0914
bus_interior,correct,stop_sign-bus_interior-0994
bus_interior,correct,elephant-bus_interior-0930
bus_interior,correct,pizza-bus_interior-0945
bus_interior,correct,pizza-bus_interior-0980
bus_interior,correct,stop_sign-bus_interior-0938
bus_interior,correct,backpack-bus_interior-0966
bus_interior,correct,backpack-bus_interior-0982
bus_interior,correct,truck-bus_interior-0991
bus_interior,correct,pizza-bus_interior-0917
bus_interior,correct,zebra-bus_interior-0982
bus_interior,correct,pizza-bus_interior-0941
bus_interior,correct,zebra-bus_interior-0991
bus_interior,correct,toilet-bus_interior-0968
bus_interior,correct,zebra-bus_interior-0978
bus_interior,correct,kite-bus_interior-0940
bus_interior,correct,truck-bus_interior-0996
bus_interior,correct,stop_sign-bus_interior-0903
bus_interior,correct,elephant-bus_interior-0968
bus_interior,correct,dog-bus_interior-0908
bus_interior,correct,backpack-bus_interior-0926
bus_interior,correct,zebra-bus_interior-0951
bus_interior,correct,backpack-bus_interior-0969
bus_interior,correct,kite-bus_interior-0907
bus_interior,correct,truck-bus_interior-0956
bus_interior,correct,pizza-bus_interior-0934
bus_interior,correct,bird-bus_interior-0921
bus_interior,correct,kite-bus_interior-0977
bus_interior,correct,elephant-bus_interior-0983
bus_interior,correct,toilet-bus_interior-0941
bus_interior,correct,stop_sign-bus_interior-0943
bus_interior,correct,zebra-bus_interior-0913
bus_interior,correct,stop_sign-bus_interior-0902
bus_interior,correct,kite-bus_interior-0984
bus_interior,correct,pizza-bus_interior-0966
bus_interior,correct,stop_sign-bus_interior-0930
bus_interior,correct,backpack-bus_interior-0936
bus_interior,correct,pizza-bus_interior-0991
bus_interior,correct,zebra-bus_interior-0941
bus_interior,correct,zebra-bus_interior-0946
bus_interior,correct,backpack-bus_interior-0909
bus_interior,correct,kite-bus_interior-0974
bus_interior,correct,truck-bus_interior-0989
bus_interior,correct,pizza-bus_interior-0953
bus_interior,correct,pizza-bus_interior-0924
bus_interior,correct,toilet-bus_interior-0948
bus_interior,correct,stop_sign-bus_interior-0972
bus_interior,correct,bird-bus_interior-0931
bus_interior,incorrect
bus_interior,incorrect,kite-bus_interior-0935
bus_interior,incorrect,kite-bus_interior-0987
bus_interior,incorrect,toilet-bus_interior-0916
bus_interior,incorrect,toilet-bus_interior-0924
bus_interior,incorrect,kite-bus_interior-0922
bus_interior,incorrect,backpack-bus_interior-0940
bus_interior,incorrect,toilet-bus_interior-0987
class,correct/incorrect,name
